COXORB Performance Data   16:25  03/10/2018 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
02500,0:09:06.9,00268,028.5,041,01:50,04.56,09.75
02525,0:09:12.7,00271,028.2,041,01:55,04.36,09.31
02550,0:09:18.3,00273,028.5,041,01:55,04.35,09.12
02575,0:09:23.7,00276,028.5,041,01:47,04.69,09.65
02600,0:09:29.1,00279,028.7,041,01:49,04.57,09.63
02625,0:09:34.9,00281,028.3,040,01:55,04.36,09.34
02650,0:09:40.5,00284,028.4,041,01:52,04.47,09.32
02675,0:09:45.9,00286,028.3,042,01:51,04.51,09.51
02700,0:09:51.3,00289,028.8,043,01:46,04.70,09.65
02725,0:09:56.9,00291,028.1,041,01:50,04.53,09.92
